participant_id,day,treatment,treatment_description,nationality,age,gender,education_level,occupation,it_experience_software_developer,it_experience_qa,it_experience_architect,it_experience_analyst,it_experience_support,it_experience_teacher,it_experience_student,it_experience_researcher,fintech_wallet_use_frequency,crypto_app_use_frequency,crypto_self_perceived_knowledge,sus_q1,sus_q2,sus_q3,sus_q4,sus_q5,sus_q6,sus_q7,sus_q8,sus_q9,sus_q10,sus_score,security_q1,security_q2,security_q3,security_q4,security_q5,security_q6,security_items_answered,security_score,feels_safer_with_devices
P40,2,3,"Multi-signature (2-of-2), initiated on mobile, authorized on desktop",Argentina,19,Man,Secondary,Student,,,,,,,Less than 1 year,,A few times a week,A few times a month,2,3,3,4,1,4,3,5,2,5,5,67.5,3,1,5,2,5,1,6,52.5,
P41,2,1,"Single-signature (1-of-1), mobile device only",Argentina,41,Man,Postgraduate,Employed,,,,,,,,,Daily,Never,1,3,1,5,1,3,1,5,1,3,1,85.0,3,3,3,3,3,3,6,30.0,
P42,2,1,"Single-signature (1-of-1), mobile device only",Argentina,23,Man,Tertiary/University,Student,,,,Less than 1 year,,,,,Daily,Never,1,3,2,2,4,3,3,2,3,3,3,45.0,2,2,2,3,3,2,6,30.0,
P43,2,2,"Multi-signature (2-of-2), initiated on desktop, authorized on mobile",Italy,20,Woman,Secondary,Student,,,,,,,1-3 years,,Daily,Never,,3,4,2,4,4,2,1,5,2,3,35.0,2,3,3,3,4,2,6,32.5,
P44,2,4,"Single-signature (1-of-1), desktop browser only",Argentina,18,Man,Secondary,"Student, Retired",Less than 1 year,Less than 1 year,Less than 1 year,Less than 1 year,Less than 1 year,Less than 1 year,Less than 1 year,Less than 1 year,Daily,Almost never,1,3,2,4,2,4,1,3,2,4,2,72.5,3,2,4,2,5,2,6,45.0,
P45,2,3,"Multi-signature (2-of-2), initiated on mobile, authorized on desktop",Argentina,19,Man,Secondary,Student,,,,Less than 1 year,,,,,A few times a week,Almost never,1,5,2,4,3,5,1,5,1,5,1,90.0,5,1,5,1,5,1,6,60.0,
P46,2,3,"Multi-signature (2-of-2), initiated on mobile, authorized on desktop",Argentina,24,Man,Secondary,Student,,,,,,,Less than 1 year,,A few times a month,Never,1,3,4,4,5,5,2,4,1,3,2,62.5,4,2,5,2,5,1,6,52.5,
P47,2,2,"Multi-signature (2-of-2), initiated on desktop, authorized on mobile",Argentina,43,Man,Tertiary/University,"Student, Employed",,,,,,,1-3 years,,Daily,Never,3,4,1,4,1,3,1,4,1,4,1,85.0,3,2,4,2,4,2,6,42.5,
P48,2,3,"Multi-signature (2-of-2), initiated on mobile, authorized on desktop",Argentina,26,Man,Secondary,"Student, Employed",1-3 years,,,,Less than 1 year,,7-9 years,,A few times a week,A few times a month,2,4,2,4,2,5,1,3,1,5,1,85.0,5,1,5,1,5,1,6,60.0,
P49,2,4,"Single-signature (1-of-1), desktop browser only",Argentina,22,Man,Secondary,Student,Less than 1 year,Less than 1 year,Less than 1 year,Less than 1 year,Less than 1 year,Less than 1 year,5-6 years,Less than 1 year,Daily,Never,1,3,1,4,3,4,1,2,3,3,3,62.5,5,2,5,1,5,1,6,57.5,
P50,3,4,"Single-signature (1-of-1), desktop browser only",Argentina,18,Man,Secondary,Student,,,,1-3 years,,,,,Almost never,Never,1,4,1,4,2,5,1,4,1,1,2,77.5,5,1,1,1,1,1,6,40.0,
P51,3,1,"Single-signature (1-of-1), mobile device only",Argentina,19,Man,Tertiary/University,Student,,,,,,,1-3 years,,A few times a week,Almost never,1,4,2,4,5,4,2,5,1,4,2,72.5,3,4,2,2,4,2,6,32.5,
P52,3,1,"Single-signature (1-of-1), mobile device only",Argentina,23,Man,Secondary,Student,1-3 years,Less than 1 year,1-3 years,Less than 1 year,Less than 1 year,Less than 1 year,5-6 years,Less than 1 year,Daily,Never,2,3,4,2,4,4,1,2,4,3,4,42.5,1,4,4,4,2,4,6,17.5,
P53,3,2,"Multi-signature (2-of-2), initiated on desktop, authorized on mobile",Argentina,52,Man,Postgraduate,Employed,10+ years,10+ years,10+ years,10+ years,10+ years,10+ years,10+ years,10+ years,Daily,Never,1,1,5,2,4,2,3,1,5,1,3,17.5,,1,1,5,1,5,5,,
P54,3,3,"Multi-signature (2-of-2), initiated on mobile, authorized on desktop",Argentina,23,Man,Tertiary/University,Student,,,,Less than 1 year,,,,,Never,Never,,3,3,2,4,4,2,5,3,4,2,60.0,3,1,3,2,5,2,6,45.0,
P55,3,4,"Single-signature (1-of-1), desktop browser only",Argentina,21,Man,Secondary,Student,,,,,,,1-3 years,,Daily,Never,1,2,3,2,2,4,1,3,4,2,1,55.0,4,2,4,2,4,2,6,45.0,two
P56,3,2,"Multi-signature (2-of-2), initiated on desktop, authorized on mobile",Argentina,44,Man,Postgraduate,"Student, Employed",,,,,,5-6 years,7-9 years,Less than 1 year,A few times a week,Never,1,1,5,2,2,3,3,1,5,1,4,22.5,1,1,1,5,1,5,6,10.0,
P57,3,3,"Multi-signature (2-of-2), initiated on mobile, authorized on desktop",Argentina,21,Man,Secondary,"Student, Employed",,,,,,,Less than 1 year,,Daily,Never,1,5,3,5,2,5,1,5,1,5,1,92.5,5,1,5,1,5,1,6,60.0,two
P58,3,1,"Single-signature (1-of-1), mobile device only",Colombia,22,Man,Secondary,Student,Less than 1 year,Less than 1 year,Less than 1 year,Less than 1 year,Less than 1 year,Less than 1 year,Less than 1 year,Less than 1 year,Daily,Almost never,2,3,2,5,3,5,2,4,2,5,2,77.5,4,2,3,2,4,2,6,42.5,
P59,3,4,"Single-signature (1-of-1), desktop browser only",Venezuela,27,Man,Secondary,"Student, Self-employed",Less than 1 year,,,,,,,,Daily,A few times a week,4,5,1,5,1,5,1,3,1,5,3,90.0,5,4,4,2,3,2,6,40.0,two
P60,3,3,"Multi-signature (2-of-2), initiated on mobile, authorized on desktop",Brazil,26,Woman,Secondary,Student,,,,,,,1-3 years,,A few times a week,A few times a month,3,4,1,5,1,5,1,4,1,5,1,95.0,5,5,5,1,5,1,6,50.0,two
P61,3,3,"Multi-signature (2-of-2), initiated on mobile, authorized on desktop",Argentina,23,Man,Secondary,Student,,,,,,,1-3 years,,Daily,A few times a week,3,3,1,4,2,4,2,4,2,3,3,70.0,4,3,3,2,5,2,6,42.5,two
P62,3,1,"Single-signature (1-of-1), mobile device only",Paraguay,32,Woman,Tertiary/University,Student,1-3 years,Less than 1 year,Less than 1 year,1-3 years,Less than 1 year,Less than 1 year,1-3 years,Less than 1 year,Daily,Never,1,4,4,4,2,4,2,5,1,4,1,77.5,3,1,5,1,5,1,6,55.0,one
P63,3,2,"Multi-signature (2-of-2), initiated on desktop, authorized on mobile",Argentina,26,Woman,Tertiary/University,Student,,,1-3 years,,,,,,A few times a week,Never,1,3,4,2,4,2,1,3,2,2,3,45.0,2,3,3,3,3,2,6,30.0,
P64,3,1,"Single-signature (1-of-1), mobile device only",Argentina,21,Man,Secondary,Student,1-3 years,,,,,,,,Almost never,Almost never,4,4,5,5,2,5,1,4,1,4,3,75.0,5,1,5,1,5,1,6,60.0,unclear
P65,3,3,"Multi-signature (2-of-2), initiated on mobile, authorized on desktop",Italy,44,Man,Postgraduate,Employed,10+ years,Less than 1 year,Less than 1 year,5-6 years,Less than 1 year,10+ years,10+ years,10+ years,Daily,Never,,1,3,3,5,4,1,4,1,3,1,60.0,4,2,1,5,3,3,6,25.0,two
P66,3,2,"Multi-signature (2-of-2), initiated on desktop, authorized on mobile",Argentina,19,Man,Secondary,Student,,,,,,,1-3 years,,A few times a week,Never,,2,4,3,4,3,2,1,4,2,3,35.0,2,2,2,2,2,3,6,27.5,unclear
P67,3,1,"Single-signature (1-of-1), mobile device only",Argentina,19,Man,Secondary,Employed,,,,,,,Less than 1 year,,Daily,A few times a week,3,3,1,4,1,4,2,5,1,5,2,85.0,4,4,4,2,5,3,6,40.0,unclear
